,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
23,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,94.0,23.5,M,34
248,C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,43.55,10.89,M,45
419,C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,62.25,15.56,M,33
462,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,9,CHINA,87.0,0.0,,36
601,C2B,Airlines,Online,Silver Plan,Yes,16,SINGAPORE,74.25,18.56,M,27
1112,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,24,LAO PEOPLE'S DEMOCRATIC REPUBLIC,21.0,0.0,,36
2212,C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,50.0,12.5,F,50
2903,C2B,Airlines,Online,Silver Plan,Yes,13,SINGAPORE,76.3,19.07,F,35
3259,EPX,Travel Agency,Online,Cancellation Plan,Yes,10,THAILAND,44.0,0.0,,36
4106,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,25,NEPAL,54.0,0.0,,36
4305,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,3,UNITED KINGDOM,29.7,17.82,,37
4851,EPX,Travel Agency,Online,Cancellation Plan,Yes,14,INDIA,24.0,0.0,,36
5972,JZI,Airlines,Online,Basic Plan,Yes,12,VIET NAM,30.0,10.5,M,35
6210,C2B,Airlines,Online,Silver Plan,Yes,16,SINGAPORE,82.55,20.64,M,28
6972,EPX,Travel Agency,Online,Cancellation Plan,Yes,14,CHINA,31.0,0.0,,36
8940,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,7,AUSTRALIA,39.6,23.76,,31
9507,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,11,ITALY,59.4,35.64,,31
9899,JZI,Airlines,Online,Value Plan,Yes,9,AUSTRALIA,45.0,15.75,F,45
10193,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,8,AUSTRALIA,39.6,23.76,,57
11207,C2B,Airlines,Online,Silver Plan,Yes,12,SINGAPORE,49.8,12.45,F,69
13579,C2B,Airlines,Online,Silver Plan,Yes,6,SINGAPORE,27.75,6.94,F,43
13738,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,7,UNITED KINGDOM,59.4,35.64,,53
13813,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,14,GERMANY,100.0,0.0,,36
14384,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,10,JAPAN,39.6,23.76,,21
14779,JZI,Airlines,Online,Basic Plan,Yes,14,THAILAND,18.0,6.3,F,44
14887,EPX,Travel Agency,Online,Cancellation Plan,Yes,22,SINGAPORE,29.0,0.0,,36
15551,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,20,THAILAND,40.0,0.0,,28
15926,SSI,Airlines,Online,Ticket Protector,Yes,2,SINGAPORE,7.15,2.0,,48
16172,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,10,THAILAND,49.5,29.7,,31
17342,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,8,CHINA,69.0,0.0,,36
17579,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,11,AUSTRALIA,39.6,23.76,,30
17629,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,27,NEPAL,38.0,0.0,,36
18161,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,16,"KOREA, REPUBLIC OF",42.0,0.0,,36
18559,C2B,Airlines,Online,Bronze Plan,Yes,10,SINGAPORE,38.35,9.59,F,26
18560,C2B,Airlines,Online,Bronze Plan,Yes,5,SINGAPORE,17.55,4.39,M,35
19012,C2B,Airlines,Online,Silver Plan,Yes,18,SINGAPORE,93.6,23.4,M,65
19208,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,9,MALAYSIA,39.6,23.76,,44
19210,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,19,MALAYSIA,39.6,23.76,,29
19899,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Yes,9,AUSTRALIA,69.3,41.58,,34
20133,EPX,Travel Agency,Online,2 way Comprehensive Plan,Yes,21,VIET NAM,20.0,0.0,,55
20344,C2B,Airlines,Online,Silver Plan,Yes,24,SINGAPORE,82.55,20.64,F,32
21165,C2B,Airlines,Online,Bronze Plan,Yes,5,SINGAPORE,17.55,4.39,F,24
