,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Age
21,C2B,Airlines,Online,Bronze Plan,No,12,SINGAPORE,46.15,11.54,44
22,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17.55,4.39,25
23,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,94.0,23.5,34
26,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,29,UNITED STATES,9.9,5.94,33
27,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28,UNITED STATES,9.9,5.94,33
29,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28,UNITED KINGDOM,19.8,11.88,31
30,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4,UNITED KINGDOM,29.7,17.82,61
32,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,24,AUSTRALIA,89.1,53.46,33
33,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,INDONESIA,25.0,0.0,36
34,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,MALAYSIA,24.0,0.0,36
37,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,THAILAND,20.0,0.0,44
38,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,24,CHINA,43.0,0.0,36
39,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,FRANCE,78.0,0.0,36
42,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,VIET NAM,27.0,0.0,46
45,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,THAILAND,20.0,0.0,50
46,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,MALAYSIA,20.0,0.0,36
47,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,THAILAND,35.0,0.0,36
48,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,PHILIPPINES,43.0,0.0,36
49,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,27,INDONESIA,20.0,0.0,62
50,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,16,MYANMAR,47.0,0.0,36
51,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,CHINA,29.0,0.0,36
53,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19,MALAYSIA,20.0,0.0,46
54,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,HONG KONG,30.0,0.0,36
57,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,23,"KOREA, REPUBLIC OF",57.0,0.0,36
59,EPX,Travel Agency,Online,2 way Comprehensive Plan,No,29,"TAIWAN, PROVINCE OF CHINA",46.0,0.0,36
61,EPX,Travel Agency,Online,Cancellation Plan,No,15,MYANMAR,16.0,0.0,36
62,EPX,Travel Agency,Online,Cancellation Plan,No,16,JAPAN,28.0,0.0,65
66,EPX,Travel Agency,Online,Cancellation Plan,No,2,SINGAPORE,14.0,0.0,31
67,EPX,Travel Agency,Online,Cancellation Plan,No,17,THAILAND,19.0,0.0,36
68,EPX,Travel Agency,Online,Cancellation Plan,No,10,PHILIPPINES,37.0,0.0,36
69,EPX,Travel Agency,Online,Cancellation Plan,No,11,THAILAND,10.0,0.0,64
72,EPX,Travel Agency,Online,Cancellation Plan,No,12,UNITED STATES,39.0,0.0,32
73,EPX,Travel Agency,Online,Cancellation Plan,No,18,VIET NAM,14.0,0.0,36
74,EPX,Travel Agency,Online,Cancellation Plan,No,6,INDIA,25.0,0.0,43
75,EPX,Travel Agency,Online,Cancellation Plan,No,2,MALAYSIA,10.0,0.0,35
76,EPX,Travel Agency,Online,Cancellation Plan,No,18,THAILAND,10.0,0.0,36
77,EPX,Travel Agency,Online,Cancellation Plan,No,2,HONG KONG,10.0,0.0,36
79,EPX,Travel Agency,Online,Cancellation Plan,No,4,UNITED STATES,17.0,0.0,35
81,EPX,Travel Agency,Online,Cancellation Plan,No,10,"KOREA, REPUBLIC OF",23.0,0.0,36
83,EPX,Travel Agency,Online,Cancellation Plan,No,22,COSTA RICA,80.0,0.0,24
84,EPX,Travel Agency,Online,Cancellation Plan,No,10,THAILAND,10.0,0.0,30
86,EPX,Travel Agency,Online,Cancellation Plan,No,7,MALAYSIA,15.0,0.0,36
89,EPX,Travel Agency,Online,Cancellation Plan,No,2,"KOREA, REPUBLIC OF",16.0,0.0,36
92,EPX,Travel Agency,Online,Cancellation Plan,No,6,MALAYSIA,10.0,0.0,29
93,EPX,Travel Agency,Online,Cancellation Plan,No,8,INDONESIA,17.0,0.0,43
94,EPX,Travel Agency,Online,Cancellation Plan,No,5,INDONESIA,37.0,0.0,21
96,EPX,Travel Agency,Online,Cancellation Plan,No,10,MYANMAR,51.0,0.0,36
97,EPX,Travel Agency,Online,Cancellation Plan,No,29,PHILIPPINES,13.0,0.0,21
100,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,2,CHINA,26.0,0.0,36
102,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,8,NEW ZEALAND,28.0,0.0,36
103,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,19,MALAYSIA,20.0,0.0,62
104,EPX,Travel Agency,Online,1 way Comprehensive Plan,No,24,"KOREA, REPUBLIC OF",90.0,0.0,36
106,RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15.0,6.0,44
108,SSI,Airlines,Online,Ticket Protector,No,15,SINGAPORE,6.5,1.82,48
111,JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22.0,7.7,29
112,JZI,Airlines,Online,Basic Plan,No,22,THAILAND,18.0,6.3,66
116,JZI,Airlines,Online,Basic Plan,No,5,CHINA,22.0,7.7,41
118,ART,Airlines,Online,24 Protect,No,3,SINGAPORE,12.5,4.38,48
119,ART,Airlines,Online,24 Protect,No,3,MALAYSIA,4.99,1.75,48
120,C2B,Airlines,Online,Bronze Plan,No,20,SINGAPORE,47.0,11.75,30
121,C2B,Airlines,Online,Bronze Plan,No,29,SINGAPORE,27.0,6.75,30
123,C2B,Airlines,Online,Bronze Plan,No,23,SINGAPORE,30.55,7.64,35
124,C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,19.5,4.88,34
125,C2B,Airlines,Online,Silver Plan,No,29,SINGAPORE,31.85,7.96,45
126,C2B,Airlines,Online,Gold Plan,No,23,SINGAPORE,77.35,19.34,52
127,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,23,MALAYSIA,29.7,17.82,31
128,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,29,AUSTRALIA,39.6,23.76,52
130,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,26,UNITED STATES,148.5,89.1,40
